ymd,h,m,v
20171102,20,0,411.84
20171102,20,5,314.88
20171102,20,10,400.32
20171102,20,15,450.24
20171102,20,20,478.08
20171102,20,25,471.36
20171102,20,30,479.04
20171102,20,35,480
20171102,20,40,343.68
20171102,20,45,373.44
20171102,20,50,431.04
20171102,20,55,477.12
20171102,21,0,481.92
20171102,21,5,481.92
20171102,21,10,480.96
20171102,21,15,478.08
20171102,21,20,318.72
20171102,21,25,405.12
20171102,21,30,465.6
20171102,21,35,457.92
20171102,21,40,475.2
20171102,21,45,471.36
20171102,21,50,477.12
20171102,21,55,481.92
20171102,22,0,445.44
20171102,22,5,331.2
20171102,22,10,438.72
20171102,22,15,480
20171102,22,20,482.88
20171102,22,25,484.8
20171102,22,30,483.84
20171102,22,35,430.08
20171102,22,40,335.04
20171102,22,45,326.4
20171102,22,50,376.32
20171102,22,55,484.8
20171102,23,0,456.96
20171102,23,5,473.28
20171102,23,10,489.6
20171102,23,15,481.92
20171102,23,20,482.88
20171102,23,25,477.12
20171102,23,30,336
20171102,23,35,415.68
20171102,23,40,467.52
20171102,23,45,458.88
20171102,23,50,458.88
20171102,23,55,472.32
20171103,0,0,440.64
20171103,0,5,330.24
20171103,0,10,377.28
20171103,0,15,480.96
20171103,0,20,359.04
20171103,0,25,326.4
20171103,0,30,374.4
20171103,0,35,485.76
20171103,0,40,479.04
20171103,0,45,484.8
20171103,0,50,487.68
20171103,0,55,404.16
20171103,1,0,342.72
20171103,1,5,366.72
20171103,1,10,381.12
20171103,1,15,463.68
20171103,1,20,478.08
20171103,1,25,485.76
20171103,1,30,483.84
20171103,1,35,483.84
20171103,1,40,418.56
20171103,1,45,352.32
20171103,1,50,456.96
20171103,1,55,319.68
20171103,2,0,415.68
20171103,2,5,464.64
20171103,2,10,452.16
20171103,2,15,480.96
20171103,2,20,479.04
20171103,2,25,483.84
20171103,2,30,460.8
20171103,2,35,340.8
20171103,2,40,382.08
20171103,2,45,344.64
20171103,2,50,402.24
20171103,2,55,460.8
20171103,3,0,479.04
20171103,3,5,478.08
20171103,3,10,397.44
20171103,3,15,312
20171103,3,20,376.32
20171103,3,25,441.6
20171103,3,30,465.6
20171103,3,35,477.12
20171103,3,40,480
20171103,3,45,475.2
20171103,3,50,482.88
20171103,3,55,480.96
20171103,4,0,438.72
20171103,4,5,335.04
20171103,4,10,399.36
20171103,4,15,413.76
20171103,4,20,473.28
20171103,4,25,416.64
20171103,4,30,327.36
20171103,4,35,322.56
20171103,4,40,312.96
20171103,4,45,411.84
20171103,4,50,435.84
20171103,4,55,467.52
20171103,5,0,473.28
20171103,5,5,480.96
20171103,5,10,484.8
20171103,5,15,458.88
20171103,5,20,327.36
20171103,5,25,390.72
20171103,5,30,473.28
20171103,5,35,478.08
20171103,5,40,480
20171103,5,45,481.92
20171103,5,50,454.08
20171103,5,55,320.64
20171103,6,0,311.04
20171103,6,5,378.24
20171103,6,10,438.72
20171103,6,15,477.12
20171103,6,20,468.48
20171103,6,25,456.96
20171103,6,30,470.4
20171103,6,35,480.96
20171103,6,40,417.6
20171103,6,45,343.68
20171103,6,50,438.72
20171103,6,55,480.96
20171103,7,0,480.96
20171103,7,5,482.88
20171103,7,10,398.4
20171103,7,15,312.96
20171103,7,20,391.68
20171103,7,25,480
20171103,7,30,447.36
20171103,7,35,474.24
20171103,7,40,480.96
20171103,7,45,470.4
20171103,7,50,475.2
20171103,7,55,479.04
20171103,8,0,416.64
20171103,8,5,336.96
20171103,8,10,379.2
20171103,8,15,480
20171103,8,20,488.64
20171103,8,25,490.56
20171103,8,30,482.88
20171103,8,35,343.68
20171103,8,40,341.76
20171103,8,45,469.44
20171103,8,50,467.52
20171103,8,55,454.08
20171103,9,0,479.04
20171103,9,5,490.56
20171103,9,10,491.52
20171103,9,15,487.68
20171103,9,20,344.64
20171103,9,25,348.48
20171103,9,30,465.6
20171103,9,35,485.76
20171103,9,40,490.56
20171103,9,45,493.44
20171103,9,50,489.6
20171103,9,55,394.56
20171103,10,0,341.76
20171103,10,5,485.76
20171103,10,10,455.04
20171103,10,15,459.84
20171103,10,20,488.64
20171103,10,25,494.4
20171103,10,30,491.52
20171103,10,35,485.76
20171103,10,40,468.48
20171103,10,45,353.28
20171103,10,50,350.4
20171103,10,55,480.96
20171103,11,0,497.28
20171103,11,5,493.44
20171103,11,10,489.6
20171103,11,15,482.88
20171103,11,20,320.64
20171103,11,25,333.12
20171103,11,30,470.4
20171103,11,35,457.92
20171103,11,40,468.48
20171103,11,45,490.56
20171103,11,50,489.6
20171103,11,55,480
20171103,12,0,478.08
20171103,12,5,477.12
20171103,12,10,340.8
20171103,12,15,348.48
20171103,12,20,477.12
20171103,12,25,486.72
20171103,12,30,473.28
20171103,12,35,469.44
20171103,12,40,448.32
20171103,12,45,336.96
20171103,12,50,320.64
20171103,12,55,375.36
20171103,13,0,428.16
20171103,13,5,482.88
20171103,13,10,482.88
20171103,13,15,486.72
20171103,13,20,486.72
20171103,13,25,485.76
20171103,13,30,483.84
20171103,13,35,362.88
20171103,13,40,330.24
20171103,13,45,442.56
20171103,13,50,487.68
20171103,13,55,482.88
20171103,14,0,480.96
20171103,14,5,492.48
20171103,14,10,381.12
20171103,14,15,319.68
20171103,14,20,324.48
20171103,14,25,318.72
20171103,14,30,315.84
20171103,14,35,316.8
20171103,14,40,349.44
20171103,14,45,336
20171103,14,50,442.56
20171103,14,55,487.68
20171103,15,0,491.52
20171103,15,5,389.76
20171103,15,10,342.72
20171103,15,15,336.96
20171103,15,20,364.8
20171103,15,25,442.56
20171103,15,30,475.2
20171103,15,35,482.88
20171103,15,40,486.72
20171103,15,45,484.8
20171103,15,50,447.36
20171103,15,55,311.04
